trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
70,False,"{'a': 0.5, 'e': 0.7648421872844884}",25,0,-46.87223751283147,"{0: 20, 1: 2, 2: 2, 3: 0, 4: 1}",0
71,False,"{'a': 0.5, 'e': 0.7583618759905082}",20,0,-7.306829536035151,"{0: 16, 1: 3, 2: 1, 3: 0, 4: 0}",0
72,False,"{'a': 0.5, 'e': 0.751805729140895}",25,0,-39.97212792062668,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 1}",0
73,False,"{'a': 0.5, 'e': 0.7451744023448704}",25,0,-124.8504167591913,"{0: 18, 1: 2, 2: 2, 3: 0, 4: 3}",0
74,False,"{'a': 0.5, 'e': 0.7384685587295879}",25,0,3.666253445548434,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",0
75,False,"{'a': 0.5, 'e': 0.7316888688738209}",30,2,-170.10997975849003,"{0: 18, 1: 2, 2: 4, 3: 1, 4: 3}",1
76,False,"{'a': 0.5, 'e': 0.7248360107409052}",30,5,-81.53561509390987,"{0: 16, 1: 2, 2: 6, 3: 0, 4: 1}",1
77,False,"{'a': 0.5, 'e': 0.7179106696109434}",30,0,-101.98562379096897,"{0: 22, 1: 2, 2: 4, 3: 0, 4: 2}",0
78,False,"{'a': 0.5, 'e': 0.7109135380122773}",20,6,-47.42909331639663,"{0: 9, 1: 4, 2: 0, 3: 0, 4: 1}",1
79,False,"{'a': 0.5, 'e': 0.7038453156522362}",20,10,-38.01157194230833,"{0: 6, 1: 1, 2: 2, 3: 1, 4: 0}",1
80,False,"{'a': 0.5, 'e': 0.6967067093471655}",20,0,-15.568082772709534,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
81,False,"{'a': 0.5, 'e': 0.6894984329517471}",20,0,0.07327973168334323,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
82,False,"{'a': 0.5, 'e': 0.6822212072876136}",25,0,-49.89118627291845,"{0: 18, 1: 1, 2: 5, 3: 1, 4: 0}",0
83,False,"{'a': 0.5, 'e': 0.6748757600712672}",35,13,-10.961610699805657,"{0: 17, 1: 3, 2: 2, 3: 0, 4: 0}",1
84,False,"{'a': 0.5, 'e': 0.6674628258413082}",30,8,-61.16877013921537,"{0: 14, 1: 5, 2: 2, 3: 0, 4: 1}",1
85,False,"{'a': 0.5, 'e': 0.6599831458849822}",25,12,-58.03165330441334,"{0: 8, 1: 1, 2: 3, 3: 0, 4: 1}",1
86,False,"{'a': 0.5, 'e': 0.6524374681640519}",25,4,-71.61398411749015,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 2}",1
87,False,"{'a': 0.5, 'e': 0.6448265472400012}",30,15,5.795359826694188,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 0}",1
88,False,"{'a': 0.5, 'e': 0.6371511441985802}",20,0,-17.632794117624474,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
89,False,"{'a': 0.5, 'e': 0.6294120265736969}",20,0,-15.867325399218497,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
90,False,"{'a': 0.5, 'e': 0.6216099682706645}",20,13,-7.965953328745215,"{0: 5, 1: 1, 2: 1, 3: 0, 4: 0}",1
91,False,"{'a': 0.5, 'e': 0.6137457494888116}",30,18,-29.478078921781613,"{0: 8, 1: 0, 2: 4, 3: 0, 4: 0}",1
92,False,"{'a': 0.5, 'e': 0.6058201566434629}",25,0,-123.01421129104276,"{0: 16, 1: 2, 2: 5, 3: 0, 4: 2}",0
93,False,"{'a': 0.5, 'e': 0.5978339822872982}",20,0,6.63209186756474,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
94,False,"{'a': 0.5, 'e': 0.5897880250310983}",20,0,-38.69541214350807,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 0}",0
95,False,"{'a': 0.5, 'e': 0.5816830894638835}",20,7,-32.8237347783281,"{0: 10, 1: 2, 2: 0, 3: 0, 4: 1}",1
96,False,"{'a': 0.5, 'e': 0.5735199860724567}",25,9,-19.39956539425782,"{0: 12, 1: 2, 2: 1, 3: 1, 4: 0}",1
97,False,"{'a': 0.5, 'e': 0.5652995311603544}",20,0,-89.43045381158687,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",0
98,False,"{'a': 0.5, 'e': 0.5570225467662173}",20,0,-47.365172868912616,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
99,False,"{'a': 0.5, 'e': 0.5486898605815876}",30,7,-64.83916200029988,"{0: 16, 1: 2, 2: 4, 3: 0, 4: 1}",1
100,False,"{'a': 0.5, 'e': 0.5403023058681398}",25,17,-3.6108979154161895,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 0}",1
101,False,"{'a': 0.5, 'e': 0.5318607213743555}",20,0,-29.68432365682511,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",1
102,False,"{'a': 0.5, 'e': 0.5233659512516496}",20,0,-16.645576923799556,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
103,False,"{'a': 0.5, 'e': 0.5148188449699553}",20,13,8.856211909264733,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
